Trip ID,Destination,Start date,End date,Duration (days),Traveler name,Traveler age,Traveler gender,Traveler nationality,Accommodation type,Accommodation cost,Transportation type,Transportation cost,Rating
1,"London, UK",5/1/2023,5/8/2023,7.0,John Smith,35.0,Male,American,Hotel,1200,Flight,600,3
2,"Phuket, Thailand",6/15/2023,6/20/2023,5.0,Jane Doe,28.0,Female,Canadian,Resort,800,Flight,500,4
3,"Bali, Indonesia",7/1/2023,7/8/2023,7.0,David Lee,45.0,Male,Korean,Villa,1000,Flight,700,4
4,"New York, USA",8/15/2023,8/29/2023,14.0,Sarah Johnson,29.0,Female,British,Hotel,2000,Flight,1000,4
5,"Tokyo, Japan",9/10/2023,9/17/2023,7.0,Kim Nguyen,26.0,Female,Vietnamese,Airbnb,700,Train,200,4
6,"Paris, France",10/5/2023,10/10/2023,5.0,Michael Brown,42.0,Male,American,Hotel,1500,Flight,800,5
7,"Sydney, Australia",11/20/2023,11/30/2023,10.0,Emily Davis,33.0,Female,Australian,Hostel,500,Flight,1200,3
8,"Rio de Janeiro, Brazil",1/5/2024,1/12/2024,7.0,Lucas Santos,25.0,Male,Brazilian,Airbnb,900,Flight,600,3
9,"Amsterdam, Netherlands",2/14/2024,2/21/2024,7.0,Laura Janssen,31.0,Female,Dutch,Hotel,1200,Train,200,4
10,"Dubai, United Arab Emirates",3/10/2024,3/17/2024,7.0,Mohammed Ali,39.0,Male,Emirati,Resort,2500,Flight,800,1
11,"Cancun, Mexico",4/1/2024,4/8/2024,7.0,Ana Hernandez,27.0,Female,Mexican,Hotel,1000,Flight,500,2
12,"Barcelona, Spain",5/15/2024,5/22/2024,7.0,Carlos Garcia,36.0,Male,Spanish,Airbnb,800,Train,100,4
13,"Honolulu, Hawaii",6/10/2024,6/18/2024,8.0,Lily Wong,29.0,Female,Chinese,Resort,3000,Flight,1200,5
14,"Berlin, Germany",7/1/2024,7/10/2024,9.0,Hans Mueller,48.0,Male,German,Hotel,1400,Flight,700,4
15,"Marrakech, Morocco",8/20/2024,8/27/2024,7.0,Fatima Khouri,26.0,Female,Moroccan,Riad,600,Flight,400,3
16,"Edinburgh, Scotland",9/5/2024,9/12/2024,7.0,James MacKenzie,32.0,Male,Scottish,Hotel,900,Train,150,4
17,Paris,9/1/2023,9/10/2023,9.0,Sarah Johnson,30.0,Female,American,Hotel,$900 ,Plane,$400 ,4
18,Bali,8/15/2023,8/25/2023,10.0,Michael Chang,28.0,Male,Chinese,Resort,"$1,500 ",Plane,$700 ,3
19,London,7/22/2023,7/28/2023,6.0,Olivia Rodriguez,35.0,Female,British,Hotel,"$1,200 ",Train,$150 ,3
20,Tokyo,10/5/2023,10/15/2023,10.0,Kenji Nakamura,45.0,Male,Japanese,Hotel,"$1,200 ",Plane,$800 ,3
21,New York,11/20/2023,11/25/2023,5.0,Emily Lee,27.0,Female,American,Airbnb,$600 ,Bus,$100 ,5
22,Sydney,12/5/2023,12/12/2023,7.0,James Wilson,32.0,Male,Australian,Hotel,"$1,000 ",Plane,$600 ,4
23,Rome,11/1/2023,11/8/2023,7.0,Sofia Russo,29.0,Female,Italian,Airbnb,$700 ,Train,$80 ,2
24,Bangkok,9/15/2023,9/23/2023,8.0,Raj Patel,40.0,Male,Indian,Hostel,$400 ,Plane,$500 ,3
